ID,SMILES
L75,C=1C=C2C(=CC1CCC3=CC=C(C=C3P(C=4C=C(C=C(C4)C)C)C=5C=C(C=C(C5)C)C)CC2)P(C=6C=C(C=C(C6)C)C)C=7C=C(C=C(C7)C)C
L76,C=1C=CC2=C(C1)C=CC3=C2C4=C5C=CC=CC5=CC=C4CP(C3)[C-]67[CH]8=[CH]9[CH]%10=[CH]6[Fe+2]9%10%11%12%13%1487[CH]=%15[CH]%14=[CH]%13[C-]%12(P%16CC=%17C=CC=%18C=CC=CC%18C%17C%19=C%20C=CC=CC%20=CC=C%19C%16)[CH]%15%11
L77,P([C@@H](C[C@H](P(C1=CC=CC=C1)C2=CC=CC=C2)C)C)(C3=CC=CC=C3)C4=CC=CC=C4
L78,P([C@H]1[C@H]([P@@](C2=CC=CC=C2)C3=CC=CC=C3)[C@@H]4C[C@H]1C=C4)(C5=CC=CC=C5)C6=CC=CC=C6
L79,P([C-]12[Fe+2]3456789(C1([C@H](N(C)C)C)=[CH]3C4(=C52[H])[H])[C-]%10(P(C%11=CC=CC=C%11)C%12=CC=CC=C%12)[CH]6=[CH]7[CH]8=[CH]9%10)(C%13=CC=CC=C%13)C%14=CC=CC=C%14
L80,P(C[C@H]1[C@H](CP(C2=CC=CC=C2)C3=CC=CC=C3)OC(C)(C)O1)(C4=CC=CC=C4)C5=CC=CC=C5
L81,P(C1=C(C=CC=C1)C2=N[C@@H]([C@@](C)(C)C)CO2)(C3=C(C)C=CC=C3)C4=C(C)C=CC=C4
L82,[P@@](C1=C(OC2=C([P@](C3=C(OC)C=CC=C3)C4=CC=CC=C4)C=CC=C2)C=CC=C1)(C5=C(OC)C=CC=C5)C6=CC=CC=C6
L83,P([C@@H]1[C@H](C(C)C)CC[C@@H](C)C1)(C2=CC=CC=C2)C3=CC=CC=C3
L84,C(C)(C)(C)[P@]1C2=C(C=CC=C2OC1)C3=C4[P@](C(C)(C)C)COC4=CC=C3
L85,C(C)(C)(C)[P@]1C2=C(C=CC=C2O[C@@H]1C)C3=C4[P@](C(C)(C)C)[C@@H](C)OC4=CC=C3
L86,C(C)(C)(C)[P@]1C2=C(C=CC=C2O[C@@H]1[C@@H](C)C)C3=C4[P@](C(C)(C)C)[C@@H]([C@H](C)C)OC4=CC=C3
L87,[C@@](C)(C)(C)[P@@]1C2=C(C=CC=C2O[C@]1([C@]3([P@]([C@](C)(C)C)C=4C(O3)=CC=CC4C5=C(OC)C=CC=C5OC)[H])[H])C6=C(OC)C=CC=C6OC
L88,[P@@]([C@@H]1C[C@H](CP(C2=CC=CC=C2)C3=CC=CC=C3)NC1)(C4=CC=CC=C4)C5=CC=CC=C5
L89,O(C1=CC=CC(=C1C=2C(OC)=CC=CC2P(C=3C=CC=CC3)C=4C=CC=CC4)P(C=5C=CC=CC5)C=6C=CC=CC6)C
L90,FC1=CC(P(C2=CC(F)=C(F)C(F)=C2)C3=C(C4=C(OC)C=CC=C4P(C5=CC(F)=C(F)C(F)=C5)C6=CC(F)=C(F)C(F)=C6)C(OC)=CC=C3)=CC(F)=C1F
L91,FC1=CC(P(C2=CC([H])=C(C(F)(F)F)C(F)=C2)C3=C(C4=C(OC)C=CC=C4P(C5=CC([H])=C(C(F)(F)F)C(F)=C5)C6=CC([H])=C(C(F)(F)F)C(F)=C6)C(OC)=CC=C3)=CC([H])=C1C(F)(F)F
L92,[H]C1=C(C(F)(F)F)N=CC(P(C2=CC([H])=C(C(F)(F)F)N=C2)C3=C(C4=C(OC)C=CC=C4P(C5=CC([H])=C(C(F)(F)F)N=C5)C6=CC([H])=C(C(F)(F)F)N=C6)C(OC)=CC=C3)=C1
L93,FC1=C(C(F)(F)F)C(F)=CC(P(C2=CC(F)=C(C(F)(F)F)C(F)=C2)C3=C(C4=C(OC)C=CC=C4P(C5=CC(F)=C(C(F)(F)F)C(F)=C5)C6=CC(F)=C(C(F)(F)F)C(F)=C6)C(OC)=CC=C3)=C1
L94,COC1=CC=CC(P(C2=CC(C(F)(F)F)=NC(C(F)(F)F)=C2)C3=CC(C(F)(F)F)=NC(C(F)(F)F)=C3)=C1C4=C(OC)C=CC=C4P(C5=CC(C(F)(F)F)=NC(C(F)(F)F)=C5)C6=CC(C(F)(F)F)=NC(C(F)(F)F)=C6
L95,P([C@H](C[C@@H](P(C1=CC(C)=CC(C)=C1)C2=CC(C)=CC(C)=C2)C)C)(C3=CC(C)=CC(C)=C3)C4=CC(C)=CC(C)=C4
L96,C[C@H](P(C1=CC(C(C)C)=CC(C(C)C)=C1)C2=CC(C(C)C)=CC(C(C)C)=C2)C[C@H](C)P(C3=CC(C(C)C)=CC(C(C)C)=C3)C4=CC(C(C)C)=CC(C(C)C)=C4
