Substrate;Ligand#;Temperature/C;Hydrogen/bar;Conversion;EE;DDG
SM7;L6;50;5;0.87;0.076;0.4
SM7;L7;50;5;0.99;0.176;1
SM7;L8;50;5;0.31;0.17;-0.9
SM7;L9;50;5;1;0.006;0
SM7;L10;50;5;1;0.227;1.2
SM7;L11;50;5;1;0.273;1.5
SM7;L12;50;5;1;0.304;-1.7
SM7;L13;50;5;0.91;0.104;0.6
SM7;L14;50;5;0.72;0.437;-2.5
SM7;L15;50;5;1;0.538;3.2
SM7;L16;50;5;1;0.179;1
SM7;L17;50;5;0.07;0.186;1
SM7;L18;50;5;1;0.915;8.4
SM7;L19;50;5;1;0.186;-1
SM7;L20;50;5;1;0.495;-2.9
SM7;L21;50;5;0.63;0.165;-0.9
SM7;L22;50;5;1;0.798;-5.9
SM7;L23;50;5;1;0.776;-5.6
SM7;L24;50;5;1;0.112;-0.6
SM7;L25;50;5;1;0.841;-6.6
SM7;L26;50;5;1;0.67;-4.4
SM7;L27;50;5;1;0.666;4.3
SM7;L28;50;5;1;0.784;5.7
SM7;L29;50;5;1;0.83;6.4
SM7;L30;50;5;1;0.653;-4.2
SM7;L31;50;5;1;0.821;-6.2
SM7;L32;50;5;0.62;0.218;-1.2
SM7;L33;50;5;0.12;0.236;-1.3
SM7;L34;50;5;0.67;0.174;-0.9
SM7;L35;50;5;0.75;0.065;0.3
SM7;L36;50;5;0.82;0.235;1.3
SM7;L37;50;5;0.58;0.023;-0.1
SM7;L38;50;5;0.63;0.098;-0.5
SM7;L39;50;5;0.91;0.231;1.3
SM7;L40;50;5;0.31;0.173;0.9
SM7;L41;50;5;0.42;0.3;-1.7
SM7;L42;50;5;1;0.199;-1.1
SM7;L43;50;5;0.94;0.332;-1.9
SM7;L44;50;5;0.1;0.107;-0.6
SM7;L45;50;5;0.72;0.16;-0.9
SM7;L46;50;5;0.93;0.351;-2
SM7;L47;50;5;0.93;0.352;-2
SM7;L48;50;5;0.66;0.076;0.4
SM7;L49;50;5;0.84;0.14;0.8
SM7;L50;50;5;0.48;0.196;-1.1
SM7;L51;50;5;1;0.046;0.2
SM7;L52;50;5;0.44;0.067;0.4
SM7;L53;50;5;0.91;0.036;0.2
SM7;L54;50;5;1;0.023;-0.1
SM7;L55;50;5;0.39;0.514;3.1
SM7;L56;50;5;0.18;0.098;0.5
